id;type;name;device;gadgetFirst;gadgetSecond
0;d;Kapkan;5;g_impact;g_c4
1;d;Tachanka;0;g_wire;g_alarm
2;d;Bandit;5;g_wire;g_c4
3;d;Jager;5;g_wire;g_camera
4;d;Rook;0;g_alarm;g_impact
5;d;Doc;0;g_camera;g_wire
6;d;Pulse;0;g_wire;g_c4
7;d;Castle;5;g_alarm;g_impact
8;d;Smoke;0;g_shiel;g_wire
9;d;Mute;5;g_camera;g_c4
10;d;Frost;5;g_camera;g_shiel
11;d;Valkyrie;5;g_impact;g_c4
12;d;Caveria;0;g_alarm;g_impact
13;d;Echo;5;g_impact;g_c4
14;d;Mira;5;g_alarm;g_c4
15;d;Lesion;5;g_impact;g_camera
16;d;Ela;5;g_wire;g_shiel
17;d;Vigil;0;g_camera;g_impact
18;d;Alibi;5;g_impact;g_shiel
19;d;Maestro;5;g_wire;g_impact
20;d;Clash;0;g_wire;g_impact
21;d;Kaid;5;g_wire;g_c4
22;d;Mozzie;5;g_wire;g_c4
23;d;Warden;0;g_shiel;g_c4
24;d;Goyo;5;g_alarm;g_impact
25;d;Wamai;5;g_alarm;g_impact
26;d;Oryx;0;g_wire;g_alarm
27;d;Melusi;5;g_impact;g_c4
28;d;Aruni;5;g_camera;g_wire
29;d;Thunderbird;5;g_impact;g_c4
30;d;Thorn;5;g_shiel;g_wire
31;d;Azami;5;g_impact;g_wire
32;d;Solis;0;g_impact;g_camera
33;d;Fenrir;5;g_camera;g_wire
34;a;Glaz;0;g_smoke;g_grenade
35;a;Fuze;5;g_breach;g_hard
36;a;IQ;0;g_breach;g_claymore
37;a;Blitz;0;g_smoke;g_breach
38;a;Twitch;0;g_smoke;g_claymore
39;a;Montagne;0;g_hard;g_smoke
40;a;Thermite;5;g_smoke;g_flash
41;a;Ash;5;g_breach;g_claymore
42;a;Thatcher;5;g_breach;g_claymore
43;a;Sledge;0;g_grenade;g_flash
44;a;Buck;0;g_hard;g_flash
45;a;Blackbeard;0;g_breach;g_flash
46;a;Capitao;5;g_claymore;g_hard
47;a;Hibana;5;g_flash;g_breach
48;a;Jackal;0;g_claymore;g_smoke
49;a;Ying;0;g_hard;g_smoke
50;a;Zofia;0;g_breach;g_claymore
51;a;Dokkaebi;0;g_smoke;g_flash
52;a;Finka;0;g_hard;g_flash
53;a;Lion;0;g_flash;g_claymore
54;a;Maverick;0;g_grenade;g_claymore
55;a;Nomad;5;g_breach;g_flash
56;a;Gridlock;5;g_smoke;g_breach
57;a;Nokk;0;g_hard;g_grenade
58;a;Amaru;0;g_flash;g_hard
59;a;Kali;5;g_breach;g_claymore
60;a;Iana;0;g_grenade;g_smoke
61;a;Ace;5;g_breach;g_claymore
62;a;Zero;5;g_hard;g_claymore
63;a;Flores;5;g_flash;g_claymore
64;a;Osa;5;g_smoke;g_claymore
65;a;Sens;5;g_breach;g_claymore
66;a;Grim;0;g_breach;g_claymore
67;a;Brava;0;g_smoke;g_claymore
68;a;Ram;0;g_smoke;g_flash
